listing_id,host_id,listing_type,reviews,satisfaction_rate,accommodates,bedrooms,price,latitude,longitude
6818070,29944566,Entire home/apt,64,4.5,5,2,138,51.470043,-2.581495
16215412,59202822,Entire home/apt,0,0,6,3,127,51.491211,-2.582905
4516217,22764146,Entire home/apt,2,0,4,3,126,51.496758,-2.649063
12050069,16036713,Entire home/apt,39,4.5,5,2,126,51.433474,-2.54882
7141508,37400137,Entire home/apt,29,5,4,1,126,51.450337,-2.606182
16084614,8051670,Entire home/apt,0,0,5,2,127,51.465274,-2.561861
11473297,45600223,Entire home/apt,29,4.5,4,1,133,51.454608,-2.621307
13277909,25587840,Entire home/apt,7,5,6,2,127,51.461891,-2.612889
13461496,76941851,Entire home/apt,5,4.5,4,1,127,51.465745,-2.588501
7570400,6316569,Entire home/apt,12,4.5,2,0,127,51.45609,-2.599261
11620357,61538404,Entire home/apt,0,0,4,2,127,51.465138,-2.601837
6488573,19298185,Entire home/apt,69,5,4,2,127,51.438826,-2.558468
15784038,48677215,Entire home/apt,12,5,4,1,127,51.449452,-2.606404
11505479,60611927,Entire home/apt,4,5,2,1,138,51.455453,-2.587453
11588877,5941347,Entire home/apt,21,5,4,2,127,51.46729,-2.587629
3311296,8729841,Entire home/apt,12,5,4,2,127,51.468771,-2.585924
6347144,11141720,Entire home/apt,36,5,3,1,139,51.443332,-2.56804
